Year,Sport,Rank,Country,Gold,Silver,Bronze,Total
1951,Athletics,1,Japan,20,17,11,48
1951,Athletics,2,India,10,12,12,34
1951,Athletics,3,Singapore,1,2,2,5
1951,Athletics,4,Iran,1,1,0,2
1951,Athletics,5,Philippines,1,0,3,4
1951,Athletics,6,Ceylon,0,1,0,1
1951,Athletics,7,Indonesia,0,0,5,5
1951,Basketball,1,Philippines,1,0,0,1
1951,Basketball,2,Japan,0,1,0,1
1951,Basketball,3,Iran,0,0,1,1
1951,Cycling,1,Japan,4,3,1,8
1951,Cycling,2,India,0,1,2,3
1951,Diving,1,India,2,1,1,4
1951,Diving,2,Iran,0,1,1,2
1951,Football,1,India,1,0,0,1
1951,Football,2,Iran,0,1,0,1
1951,Football,3,Japan,0,0,1,1
1951,Swimming,1,Singapore,4,2,0,6
1951,Swimming,2,Philippines,3,5,4,12
1951,Swimming,3,India,1,1,4,6
1951,WaterPolo,1,India,1,0,0,1
1951,WaterPolo,2,Singapore,0,1,0,1
1951,Weightlifting,1,Iran,7,3,0,10
1951,Weightlifting,2,Singapore,0,2,0,2
1951,Weightlifting,3,India,0,1,1,2
1951,Weightlifting,3,Philippines,0,1,1,2
1951,Weightlifting,5,Burma,0,0,3,3
1951,Weightlifting,6,Japan,0,0,2,2
1954,Athletics,1,Japan,17,18,8,43
1954,Athletics,2,India,5,3,6,14
1954,Athletics,3,Pakistan,4,4,0,8
1954,Athletics,4,South Korea,2,1,2,5
1954,Athletics,5,Republic of China,1,1,5,7
1954,Athletics,6,Israel,1,0,0,1
1954,Athletics,7,Singapore,0,2,1,3
1954,Athletics,8,Philippines,0,1,7,8
1954,Athletics,9,Hong Kong,0,0,1,1
1954,Basketball,1,Philippines,1,0,0,1
1954,Basketball,2,Republic of China,0,1,0,1
1954,Basketball,3,Japan,0,0,1,1
1954,Boxing,1,Philippines,5,1,0,6
1954,Boxing,2,South Korea,1,2,1,4
1954,Boxing,3,Japan,1,1,3,5
1954,Boxing,4,Ceylon,0,1,1,2
1954,Boxing,5,Republic of China,0,1,0,1
1954,Boxing,5,Singapore,0,1,0,1
1954,Boxing,7,Burma,0,0,1,1
1954,Diving,1,Japan,3,3,3,9
1954,Diving,2,Israel,1,1,0,2
1954,Diving,3,India,0,0,1,1
1954,Football,1,Republic of China,1,0,0,1
1954,Football,2,South Korea,0,1,0,1
1954,Football,3,Burma,0,0,1,1
1954,Shooting,1,Philippines,4,4,4,12
1954,Shooting,2,Japan,2,2,0,4
1954,Shooting,3,Indonesia,0,0,1,1
1954,Shooting,3,Israel,0,0,1,1
1954,Swimming,1,Japan,9,9,7,25
1954,Swimming,2,Philippines,4,3,4,11
1954,Swimming,3,Singapore,0,1,1,2
1954,Swimming,4,Republic of China,0,0,1,1
1954,WaterPolo,1,Singapore,1,0,0,1
1954,WaterPolo,2,Japan,0,1,0,1
1954,WaterPolo,3,Indonesia,0,0,1,1
1954,Weightlifting,1,South Korea,5,1,0,6
1954,Weightlifting,2,Burma,2,0,0,2
1954,Weightlifting,3,Philippines,0,3,1,4
1954,Weightlifting,4,Japan,0,1,2,3
1954,Weightlifting,5,Republic of China,0,1,1,2
1954,Weightlifting,6,Pakistan,0,1,0,1
1954,Weightlifting,7,Singapore,0,0,2,2
1954,Weightlifting,8,Indonesia,0,0,1,1
1954,Wrestling,1,Japan,6,1,0,7
1954,Wrestling,2,Pakistan,1,1,2,4
1954,Wrestling,3,Philippines,0,2,1,3
1954,Wrestling,4,South Korea,0,1,2,3
1954,Wrestling,5,India,0,1,1,2
1954,Wrestling,6,Afghanistan,0,1,0,1
1958,Athletics,1,Japan,12,15,9,36
1958,Athletics,10,Israel,0,0,2,2
1958,Athletics,11,Indonesia,0,0,1,1
1958,Athletics,11,Malaya,0,0,1,1
1958,Athletics,2,Pakistan,5,4,4,13
1958,Athletics,3,India,5,2,2,9
1958,Athletics,4,Philippines,3,4,4,11
1958,Athletics,5,Republic of China,2,3,4,9
1958,Athletics,6,South Korea,2,1,2,5
1958,Athletics,7,Iran,1,1,2,4
1958,Athletics,8,Ceylon,1,0,0,1
1958,Athletics,9,Burma,0,1,0,1
1958,Basketball,1,Philippines,1,0,0,1
1958,Basketball,2,Republic of China,0,1,0,1
1958,Basketball,3,Japan,0,0,1,1
1958,Boxing,1,Japan,6,2,2,10
1958,Boxing,10,Singapore,0,0,1,1
1958,Boxing,2,South Korea,2,0,3,5
1958,Boxing,3,Burma,1,1,1,3
1958,Boxing,4,Republic of China,1,0,0,1
1958,Boxing,5,Iran,0,3,3,6
1958,Boxing,6,Pakistan,0,2,2,4
1958,Boxing,7,Philippines,0,1,2,3
1958,Boxing,8,India,0,1,1,2
1958,Boxing,9,Thailand,0,0,2,2
1958,Cycling,1,Japan,4,1,0,5
1958,Cycling,2,South Korea,2,1,1,4
1958,Cycling,3,Pakistan,0,2,1,3
1958,Cycling,4,Iran,0,2,0,2
1958,Cycling,5,South Vietnam,0,0,2,2
1958,Cycling,6,Republic of China,0,0,1,1
1958,Diving,1,Japan,4,4,0,8
1958,Diving,2,Iran,0,0,2,2
1958,Diving,3,Republic of China,0,0,1,1
1958,Field hockey,1,Pakistan,1,0,0,1
1958,Field hockey,2,India,0,1,0,1
1958,Field hockey,3,South Korea,0,0,1,1
1958,Football,1,Republic of China,1,0,0,1
1958,Football,2,South Korea,0,1,0,1
1958,Football,3,Indonesia,0,0,1,1
1958,Shooting,1,Japan,5,0,1,6
1958,Shooting,2,Philippines,1,2,2,5
1958,Shooting,3,Republic of China,0,3,1,4
1958,Shooting,4,Thailand,0,1,1,2
1958,Shooting,5,Hong Kong,0,0,1,1
1958,Swimming,1,Japan,20,11,6,37
1958,Swimming,2,Philippines,1,7,8,16
1958,Swimming,3,Republic of China,0,3,3,6
1958,Swimming,4,Indonesia,0,0,3,3
1958,Table tennis,1,Japan,4,4,5,13
1958,Table tennis,2,South Vietnam,2,0,1,3
1958,Table tennis,3,Republic of China,1,1,3,5
1958,Table tennis,4,South Korea,0,1,2,3
1958,Table tennis,5,Hong Kong,0,1,0,1
1958,Table tennis,6,Iran,0,0,1,1
1958,Tennis,1,Japan,3,0,1,4
1958,Tennis,2,Philippines,2,5,3,10
1958,Tennis,3,Republic of China,0,0,3,3
1958,Tennis,4,Ceylon,0,0,1,1
