Year,Host_City,Sport,Country,Gold,Silver,Bronze,Total
1952,Helsinki,Boxing,South Korea,0,0,1,1
1952,Helsinki,Gymnastics,Japan,0,0,1,1
1952,Helsinki,Gymnastics,Japan,0,2,0,2
1952,Helsinki,Hockey,India,1,0,0,1
1952,Helsinki,Swimming,Japan,0,1,0,1
1952,Helsinki,Swimming,Japan,0,2,0,2
1952,Helsinki,Weightlifting,Iran,0,1,1,2
1952,Helsinki,Weightlifting,South Korea,0,0,1,1
1952,Helsinki,Wrestling,India,0,0,1,1
1952,Helsinki,Wrestling,Iran,0,2,3,5
1952,Helsinki,Wrestling,Japan,1,1,0,2
1956,Melbourne,Boxing,South Korea,0,1,0,1
1956,Melbourne,Gymnastics,Japan,0,1,2,3
1956,Melbourne,Gymnastics,Japan,1,4,1,6
1956,Melbourne,Hockey,India,1,0,0,1
1956,Melbourne,Hockey,Pakistan,0,1,0,1
1956,Melbourne,Swimming,Japan,1,4,0,5
1956,Melbourne,Weightlifting,Iran,0,0,1,1
1956,Melbourne,Weightlifting,South Korea,0,0,1,1
1956,Melbourne,Wrestling,Iran,2,2,0,4
1956,Melbourne,Wrestling,Japan,2,1,0,3
1960,Roma,Athletics,Chinese Taipei,0,1,0,1
1960,Roma,Boxing,Japan,0,0,1,1
1960,Roma,Gymnastics,Japan,1,0,0,1
1960,Roma,Gymnastics,Japan,3,2,3,8
1960,Roma,Hockey,India,0,1,0,1
1960,Roma,Hockey,Pakistan,1,0,0,1
1960,Roma,Shooting,Japan,0,0,1,1
1960,Roma,Swimming,Japan,0,1,1,2
1960,Roma,Swimming,Japan,0,2,1,3
1960,Roma,Weightlifting,Iran,0,0,1,1
1960,Roma,Weightlifting,Iraq,0,0,1,1
1960,Roma,Weightlifting,Japan,0,1,0,1
1960,Roma,Weightlifting,Singapore,0,1,0,1
1960,Roma,Wrestling,Iran,0,1,2,3
1960,Roma,Wrestling,Japan,0,1,0,1
1960,Roma,Wrestling,Pakistan,0,0,1,1
1964,Tokyo,Athletics,Japan,0,0,1,1
1964,Tokyo,Boxing,Japan,1,0,0,1
1964,Tokyo,Boxing,Philippines,0,1,0,1
1964,Tokyo,Boxing,South Korea,0,1,0,1
1964,Tokyo,Gymnastics,Japan,1,0,1,2
1964,Tokyo,Gymnastics,Japan,4,4,0,8
1964,Tokyo,Hockey,India,1,0,0,1
1964,Tokyo,Hockey,Pakistan,0,1,0,1
1964,Tokyo,Judo,Japan,3,1,0,4
1964,Tokyo,Judo,South Korea,0,0,1,1
1964,Tokyo,Shooting,Japan,0,0,1,1
1964,Tokyo,Swimming,Japan,0,0,1,1
1964,Tokyo,Volleyball,Japan,1,0,1,2
1964,Tokyo,Weightlifting,Japan,1,0,2,3
1964,Tokyo,Wrestling,Iran,0,0,2,2
1964,Tokyo,Wrestling,Japan,5,0,1,6
1964,Tokyo,Wrestling,South Korea,0,1,0,1
1968,Mexico City,Athletics,Chinese Taipei,0,0,1,1
1968,Mexico City,Athletics,Japan,0,1,0,1
1968,Mexico City,Boxing,Japan,0,0,1,1
1968,Mexico City,Boxing,South Korea,0,1,1,2
1968,Mexico City,Football,Japan,0,0,1,1
1968,Mexico City,Gymnastics,Japan,1,0,0,1
1968,Mexico City,Gymnastics,Japan,5,2,4,11
1968,Mexico City,Hockey,India,0,0,1,1
1968,Mexico City,Hockey,Pakistan,1,0,0,1
1968,Mexico City,Volleyball,Japan,0,2,0,2
1968,Mexico City,Weightlifting,Iran,1,1,0,2
1968,Mexico City,Weightlifting,Japan,1,1,1,3
1968,Mexico City,Wrestling,Iran,1,0,2,3
1968,Mexico City,Wrestling,Japan,4,1,0,5
1968,Mexico City,Wrestling,Mongolia,0,1,3,4
1972,Munich,Boxing,North Korea,0,1,0,1
1972,Munich,Gymnastics,Japan,1,0,0,1
1972,Munich,Gymnastics,Japan,4,5,6,15
1972,Munich,Hockey,India,0,0,1,1
1972,Munich,Hockey,Pakistan,0,1,0,1
1972,Munich,Judo,Japan,3,0,1,4
1972,Munich,Judo,North Korea,0,0,1,1
1972,Munich,Judo,South Korea,0,1,0,1
1972,Munich,Shooting,North Korea,1,0,0,1
1972,Munich,Swimming,Japan,2,0,1,3
1972,Munich,Volleyball,Japan,1,1,0,2
1972,Munich,Volleyball,North Korea,0,0,1,1
1972,Munich,Weightlifting,Iran,0,1,0,1
1972,Munich,Wrestling,Iran,0,1,1,2
1972,Munich,Wrestling,Japan,2,2,0,4
1972,Munich,Wrestling,Mongolia,0,1,0,1
1972,Munich,Wrestling,North Korea,0,0,1,1
1976,Montreal,Archery,Japan,0,1,0,1
1976,Montreal,Boxing,North Korea,1,1,0,2
1976,Montreal,Boxing,Thailand,0,0,1,1
1976,Montreal,Gymnastics,Japan,1,0,0,1
1976,Montreal,Gymnastics,Japan,2,4,3,9
1976,Montreal,Hockey,Pakistan,0,0,1,1
1976,Montreal,Judo,Japan,3,1,1,5
1976,Montreal,Judo,South Korea,0,1,2,3
1976,Montreal,Volleyball,Japan,1,0,0,1
1976,Montreal,Volleyball,South Korea,0,0,1,1
1976,Montreal,Weightlifting,Iran,0,0,1,1
1976,Montreal,Weightlifting,Japan,0,0,2,2
1976,Montreal,Wrestling,Iran,0,1,0,1
1976,Montreal,Wrestling,Japan,2,0,4,6
1976,Montreal,Wrestling,Mongolia,0,1,0,1
1976,Montreal,Wrestling,South Korea,1,0,1,2
1980,Moskva,Boxing,North Korea,0,0,1,1
1980,Moskva,Hockey,India,1,0,0,1
1980,Moskva,Judo,Mongolia,0,1,1,2
1980,Moskva,Weightlifting,North Korea,0,1,1,2
